기간,자치구,동,전체세대수,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대이상
2021.3/4,은평구,진관동,"21,528","6,414","4,459","4,202","4,689","1,362",331,55,11,2,3
2021.3/4,은평구,불광2동,"14,030","6,642","3,380","2,214","1,357",337,81,11,6,1,1
2021.3/4,은평구,응암3동,"12,571","6,061","3,050","1,847","1,207",320,60,18,7,0,1
2021.3/4,은평구,역촌동,"20,895","8,201","5,183","3,927","2,754",656,131,33,7,3,0
2021.3/4,서대문구,천연동,"7,764","3,091","1,812","1,438","1,128",232,48,10,3,1,1
2021.3/4,서대문구,홍제1동,"10,410","3,792","2,553","1,987","1,609",373,69,17,8,1,1
2021.3/4,서대문구,홍제3동,"7,076","2,809","1,756","1,306",928,215,47,12,2,0,1
2021.3/4,서대문구,홍제2동,"5,790","1,848","1,460","1,262",954,219,32,9,4,1,1
2021.3/4,서대문구,홍은1동,"9,662","3,294","2,363","1,955","1,565",373,85,20,5,1,1
2021.3/4,서대문구,홍은2동,"12,354","5,132","2,953","2,142","1,626",363,94,36,5,3,0
2021.3/4,서대문구,남가좌1동,"5,701","1,298","1,217","1,446","1,367",287,65,18,2,1,0
2021.3/4,서대문구,남가좌2동,"13,296","5,233","2,978","2,460","2,070",442,91,17,2,2,1
2021.3/4,서대문구,북가좌1동,"6,907","1,650","1,752","1,589","1,481",339,76,15,3,2,0
2021.3/4,서대문구,북가좌2동,"14,601","5,834","3,661","2,589","1,943",461,88,22,2,0,1
2021.3/4,서대문구,충현동,"10,297","5,207","2,063","1,452","1,199",297,61,15,1,1,1
2021.3/4,서대문구,북아현동,"7,265","2,830","1,634","1,487","1,082",188,34,9,0,1,0
2021.3/4,서대문구,신촌동,"13,926","10,837","1,568",798,535,134,36,7,6,1,4
2021.3/4,서대문구,연희동,"18,663","10,163","3,644","2,439","1,802",481,99,21,8,6,0
2021.3/4,마포구,용강동,"9,367","3,484","2,006","1,904","1,546",333,65,20,5,4,0
2021.3/4,마포구,대흥동,"8,632","5,509","1,448",833,676,138,21,4,0,1,2
2021.3/4,마포구,염리동,"7,661","3,335","1,506","1,362","1,194",219,30,11,2,1,1
2021.3/4,마포구,신수동,"9,982","3,872","2,178","1,922","1,603",316,67,16,7,1,0
2021.3/4,마포구,서교동,"15,444","10,175","2,624","1,394",966,203,62,10,7,1,2
2021.3/4,마포구,합정동,"9,526","5,259","2,037","1,236",784,157,33,15,2,1,2
2021.3/4,마포구,망원1동,"10,385","5,122","2,469","1,383","1,084",257,55,11,3,1,0
2021.3/4,마포구,망원2동,"8,487","3,369","2,086","1,451","1,245",266,55,11,3,1,0
2021.3/4,마포구,연남동,"8,717","5,212","1,726",945,612,178,28,9,3,4,0
2021.3/4,마포구,성산1동,"9,343","4,405","2,129","1,437","1,024",263,58,16,5,6,0
2021.3/4,마포구,성산2동,"18,980","8,731","4,006","3,020","2,532",555,106,18,10,1,1
2021.3/4,마포구,상암동,"12,624","4,445","2,533","2,397","2,448",651,110,27,10,2,1
2021.3/4,마포구,도화동,"9,325","3,524","2,103","1,815","1,443",344,71,19,1,3,2
2021.3/4,마포구,서강동,"12,154","5,842","2,352","1,981","1,583",307,60,21,7,0,1
2021.3/4,마포구,공덕동,"18,482","8,866","3,995","2,857","2,156",476,95,29,7,1,0
